SAMPLES,MAG_GENERA,MAG-ID,COMPLETION,CONTAMINATION,CONTIGS,SIZE_BP,N50,L50,VIRULENCE_GENES
SS01,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS02,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS03,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS04,Megasphaera,Megasphaera S04B07,99.4,3,103,1594320,24889,20,2
SS04,Prevotella,Prevotella S04B11,95.8,1.7,126,2517999,32135,27,0
SS05,Rothia,Rothia S05B03,94.1,2.6,53,2161118,62819,11,0
SS05,Prevotella,Prevotella S05B06,85.7,5.8,319,2099540,8043,76,0
SS06,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS07,Haemophilus,Haemophilus S07B04,95.6,2.4,190,2036072,14517,46,74
SS07,Prevotella,Prevotella S07B06,94.9,6.9,338,2883458,10574,76,1
SS07,Prevotella,Prevotella S07B07,92.2,3,111,2406583,37567,21,0
SS08,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS09,Veillonella,Veillonella S09B01,83.4,6.1,244,1486367,6800,67,2
SS10,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS11,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS12,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS13,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS14,Prevotella,Prevotella S14B01,94.6,2.1,154,2624422,32331,29,2
SS14,Prevotella,Prevotella S14B09,94,3.2,191,3095391,28799,33,1
SS14,Haemophilus,Haemophilus S14B14,99.3,3.7,167,1887711,15808,43,70
SS15,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS16,Actinomyces,Actinomyces S16B07,81.3,3.8,206,1436255,7490,53,0
SS16,Lachnoanaerobaculum,Lachnoanaerobaculum S16B08,92.9,2.5,54,2472557,68831,12,0
SS16,Schaalia,Schaalia S16B11,91.7,3.2,134,2252786,27705,22,0
SS16,Prevotella,Prevotella S16B17,91.5,1.5,349,2142087,6897,106,1
SS16,Lancefieldella,Lancefieldella S16B18,93.5,0,13,1240903,159008,4,0
SS16,Bifidobacterium,Bifidobacterium S16B21,84.1,8,275,1791385,7921,71,0
SS17,Prevotella,Prevotella S17B01,98,2.7,217,2870986,20351,46,0
SS18,Porphyromonas,Bacteroidetes S18B17,95.8,0,72,1759737,35875,16,0
SS18,Leptotrichia,Leptotrichia S18B18,95.8,0,197,2354747,19191,36,1
SS19,Streptococcus,Streptococcus S19B07,99.3,4.6,97,1965774,36891,17,31
SS19,Actinomyces ,Actinomycetales S19B24,86.7,0.4,60,1822228,46656,12,0
SS19,Eubacterium,Firmicutes S19B33,100,0,14,1059503,120522,4,2
SS19,Eubacterium,Eubacterium S19B35,100,0,14,1451356,180255,2,2
SS19,unclassified_Saccharibacteria,Firmicutes S19B51,100,0,21,692728,69911,4,1
SS19,Olsenella,Olsenella S19B58,93.5,6.5,261,2481952,11871,69,1
SS20,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS21,Abiotrophia,Abiotrophia S21B10,91.7,0,163,1519711,11990,40,2
SS21,Lachnoanaerobaculum,Lachnospiraceae S21B15,100,2.3,49,1958692,57128,9,3
SS21,Candidatus Nanosynbacter,Candidatus Nanosynbacter S21B18,100,0,23,650987,52480,4,0
SS22,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS23,Prevotella,Prevotella S23B04,85,0,85,2280430,42439,19,1
SS23,Eubacterium,Eubacteriaceae S23B16,100,0,160,1382897,12050,38,1
SS24,Stomatobaculum,Lachnospiraceae S24B24,83.3,4.8,68,1577474,31834,17,0
SS24,Mogibacterium,Mogibacterium S24B40,94.1,4.8,145,1434074,12914,35,1
SS25,Actinomyces,Actinobacteria S25B13,89.9,3.8,270,1529800,6607,67,0
SS25,Bifidobacterium,Bifidobacterium S25B17,97.5,7.4,197,2088217,15935,36,0
SS26,Prevotella,Prevotellaceae S26B10,83.3,1.5,113,2660273,40917,21,0
SS27,Coprococcus,Lachnospiraceae S27B04,100,6.7,68,1968729,49610,15,5
SS28,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS29,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS30,Prevotella,Prevotellaceae S30B08,88.9,8.2,386,2082747,6290,108,0
SS31,Haemophilus,Haemophilus S31B07,90.7,7.1,209,1877213,13823,43,77
SS32,Actinomyces,Actinobacteria S32B17,91,0.4,71,1906979,41401,15,0
